"Year","Series","Unit","Value"
"2019","Employed population covered in the event of work injury","% of employed population",20.5
"2022","Poor population receiving social assistance cash benefit","% of population",0
"2019","Population covered by at least one social protection benefit","% of population",9.6
"2020","Population covered by at least one social protection benefit","% of population",9.6
"2022","Population covered by at least one social protection benefit","% of population",9.1
"2022","Population covered by social assistance programs, poorest quintile (1st)","% of population",0
"2022","Population receiving disability cash benefits","% of female population with severe disabilities",0
"2022","Population receiving disability cash benefits","% of male population with severe disabilities",0
"2022","Population receiving disability cash benefits","% of population with severe disabilities",0
"2022","Proportion of children/households receiving child/family cash benefit","% of children/household",0
"2022","Proportion of children/households receiving child/family cash benefit","% of children/household, female",0
"2022","Proportion of children/households receiving child/family cash benefit","% of children/household, male",0
"2000","Proportion of population receiving a pension","% of population above statutory pensionable age",1
"2010","Proportion of population receiving a pension","% of population above statutory pensionable age",0.9
"2019","Proportion of population receiving a pension","% of population above statutory pensionable age",1.2
"2022","Proportion of population receiving a pension","% of population above statutory pensionable age",1.9
"2019","Unemployment benefit coverage","% of unemployed population",0
"2020","Unemployment benefit coverage","% of unemployed population",0
"2019","Unemployment benefit coverage","% of unemployed population, female",0
"2020","Unemployment benefit coverage","% of unemployed population, female",0
"2019","Unemployment benefit coverage","% of unemployed population, male",0
"2020","Unemployment benefit coverage","% of unemployed population, male",0
"2022","Vulnerable population receiving social assistance cash benefit","% of vulnerable female population",0
"2022","Vulnerable population receiving social assistance cash benefit","% of vulnerable male population",0
"2022","Vulnerable population receiving social assistance cash benefit","% of vulnerable population",0
