Indicator,Disaggregations,Number of disaggregations
#1-3-1,Unit,1
#1-4-1,Unit,1
#1-5-1,Unit,1
#1-5-2,Unit,1
#1-5-3,Unit,1
#1-5-4,Unit,1
#1-a-1,Unit,1
#1-a-2,Unit,1
#10-4-1,Unit,1
#10-7-2,Unit,1
#10-a-1,Unit,1
#10-b-1,Unit,1
#10-c-1,Unit,1
#11-1-1,Unit,1
#11-5-1,Unit,1
#11-5-2,Unit,1
#11-5-3,Unit,1
#11-6-2,Unit,1
#11-a-1,Unit,1
#11-b-1,Unit,1
#11-b-2,Unit,1
#12-2-1,Unit,1
#12-2-2,Unit,1
#12-3-1,Unit,1
#12-4-1,Unit,1
#12-a-1,Unit,1
#12-c-1,Unit,1
#13-1-1,Unit,1
#13-1-2,Unit,1
#13-1-3,Unit,1
#13-2-2,Unit,1
#14-1-1,Unit,1
#14-5-1,Unit,1
#15-1-1,Unit,1
#15-1-2,Unit,1
#15-2-1,Unit,1
#15-4-1,Unit,1
#15-4-2,Unit,1
#15-5-1,Unit,1
#15-6-1,Unit,1
#15-8-1,Unit,1
#15-9-1,Unit,1
#15-a-1,Unit,1
#15-b-1,Unit,1
#16-1-1,Unit,1
#16-2-3,Unit,1
#16-3-2,Unit,1
#16-5-1,Unit,1
#16-5-2,Unit,1
#16-6-1,Unit,1
#16-7-1,Unit,1
#16-9-1,Unit,1
#16-a-1,Unit,1
#2-1-1,Unit,1
#2-2-1,Unit,1
#2-2-2,Unit,1
#2-2-3,Unit,1
#2-4-1,Unit,1
#2-5-1,Unit,1
#2-a-1,Unit,1
#2-a-2,Unit,1
#2-c-1,Unit,1
#3-1-1,Unit,1
#3-1-2,Unit,1
#3-2-1,Unit,1
#3-2-2,Unit,1
#3-3-1,Unit,1
#3-3-2,Unit,1
#3-3-3,Unit,1
#3-3-4,Unit,1
#3-3-5,Unit,1
#3-4-1,Unit,1
#3-4-2,Unit,1
#3-5-1,Unit,1
#3-5-2,Unit,1
#3-6-1,Unit,1
#3-7-1,Unit,1
#3-7-2,Unit,1
#3-8-1,Unit,1
#3-9-1,Unit,1
#3-9-2,Unit,1
#3-9-3,Unit,1
#3-a-1,Unit,1
#3-b-1,Unit,1
#3-b-2,Unit,1
#3-c-1,Unit,1
#3-d-1,Unit,1
#4-1-2,Unit,1
#4-2-2,Unit,1
#4-3-1,Unit,1
#4-5-1,Unit,1
#4-b-1,Unit,1
#5-1-1,Unit,1
#5-2-1,Unit,1
#5-3-1,Unit,1
#5-5-1,Unit,1
#5-5-2,Unit,1
#5-6-1,Unit,1
#5-a-1,Unit,1
#5-c-1,Unit,1
#6-2-1,Unit,1
#6-3-1,Unit,1
#6-4-2,Unit,1
#6-5-1,Unit,1
#6-6-1,Unit,1
#6-a-1,Unit,1
#6-b-1,Unit,1
#7-1-1,Unit,1
#7-1-2,Unit,1
#7-2-1,Unit,1
#7-3-1,Unit,1
#7-a-1,Unit,1
#7-b-1,Unit,1
#8-1-1,Unit,1
#8-2-1,Unit,1
#8-4-1,Unit,1
#8-4-2,Unit,1
#8-5-2,Unit,1
#8-6-1,Unit,1
#8-8-2,Unit,1
#8-a-1,Unit,1
#9-1-2,Unit,1
#9-2-1,Unit,1
#9-2-2,Unit,1
#9-3-2,Unit,1
#9-5-1,Unit,1
#9-5-2,Unit,1
#9-a-1,Unit,1
#9-b-1,Unit,1
#9-c-1,Unit,1
